[frequency (THz)]	[signal]	[dc signal]	[interferogram phase (rad)]	[linear phase (rad)]
764.482	92.930	141.147	310.674	316.641
764.419	45.227	142.781	311.297	317.131
764.357	58.756	144.404	311.932	317.623
764.295	121.325	146.035	312.577	318.113
764.233	116.013	147.688	313.228	318.604
764.171	89.306	149.359	313.880	319.095
764.109	93.331	151.027	314.529	319.586
764.047	124.694	152.653	315.169	320.076
763.985	120.395	154.187	315.799	320.567
763.923	103.173	155.573	316.417	321.058
763.861	112.885	156.757	317.023	321.549
763.799	116.550	157.688	317.618	322.040
763.737	104.470	158.326	318.203	322.531
763.674	81.363	158.638	318.781	323.021
763.612	60.176	158.599	319.351	323.512
763.550	83.268	158.193	319.915	324.003
763.488	131.965	157.413	320.475	324.494
763.426	148.577	156.256	321.031	324.984
763.364	157.575	154.730	321.584	325.476
763.302	118.764	152.847	322.134	325.966
763.240	39.643	150.625	322.683	326.457
763.178	106.928	148.090	323.230	326.948
763.116	167.619	145.271	323.778	327.439
763.054	112.154	142.203	324.325	327.929
762.992	112.881	138.928	324.873	328.420
762.929	121.351	135.490	325.422	328.911
762.867	122.440	131.938	325.973	329.402
762.805	171.115	128.326	326.527	329.893
762.743	166.783	124.712	327.084	330.384
762.681	157.797	121.158	327.646	330.874
762.619	216.200	117.731	328.214	331.365
762.557	186.120	114.500	328.790	331.856
762.495	97.729	111.544	329.375	332.347
762.433	60.197	108.947	329.972	332.837
762.371	110.423	106.801	330.583	333.328
762.309	159.877	105.208	331.210	333.819
762.247	172.877	104.278	331.855	334.310
762.185	179.476	104.123	332.517	334.801
762.122	108.474	104.847	333.194	335.291
762.060	58.115	106.523	333.878	335.782
761.998	123.020	109.179	334.561	336.273
761.936	110.247	112.787	335.234	336.764
761.874	126.616	117.273	335.892	337.254
761.812	210.751	122.537	336.533	337.746
761.750	127.312	128.469	337.156	338.236
761.688	54.409	134.958	337.764	338.727
761.626	84.655	141.898	338.359	339.218
761.564	115.048	149.188	338.945	339.709
761.502	153.147	156.730	339.522	340.199
761.440	157.716	164.431	340.092	340.690
761.377	118.482	172.199	340.659	341.181
