[frequency (THz)]	[wavelength (nm)]	[intensity]	[phase (rad)]
386.226	776.748	0.007	-0.316
386.164	776.873	0.007	-0.434
386.102	776.997	0.008	-0.552
386.040	777.122	0.008	-0.668
385.978	777.247	0.009	-0.780
385.915	777.373	0.009	-0.889
385.853	777.497	0.010	-0.991
385.791	777.623	0.011	-1.085
385.729	777.748	0.012	-1.166
385.667	777.873	0.013	-1.234
385.605	777.998	0.014	-1.286
385.543	778.123	0.015	-1.324
385.481	778.249	0.016	-1.349
385.419	778.374	0.017	-1.366
385.357	778.500	0.018	-1.375
385.295	778.625	0.019	-1.379
385.233	778.750	0.020	-1.380
385.170	778.876	0.022	-1.378
385.108	779.002	0.023	-1.374
385.046	779.127	0.025	-1.369
384.984	779.253	0.026	-1.363
384.922	779.379	0.028	-1.356
384.860	779.504	0.029	-1.349
384.798	779.630	0.031	-1.341
384.736	779.756	0.033	-1.334
384.674	779.882	0.035	-1.326
384.612	780.007	0.037	-1.318
384.550	780.133	0.038	-1.311
384.488	780.259	0.040	-1.303
384.425	780.385	0.042	-1.296
384.363	780.511	0.044	-1.289
384.301	780.637	0.046	-1.283
384.239	780.764	0.048	-1.276
384.177	780.890	0.050	-1.270
384.115	781.016	0.053	-1.264
384.053	781.142	0.055	-1.258
383.991	781.268	0.057	-1.253
383.929	781.395	0.059	-1.248
383.867	781.521	0.061	-1.243
383.805	781.648	0.064	-1.239
383.743	781.774	0.066	-1.234
383.681	781.901	0.068	-1.230
383.618	782.027	0.070	-1.226
383.556	782.154	0.073	-1.223
383.494	782.280	0.075	-1.219
383.432	782.407	0.077	-1.216
383.370	782.534	0.080	-1.212
383.308	782.660	0.082	-1.209
383.246	782.787	0.085	-1.206
383.184	782.914	0.087	-1.203
383.122	783.041	0.089	-1.200
383.060	783.168	0.092	-1.197
382.998	783.295	0.094	-1.194
382.936	783.422	0.097	-1.191
382.873	783.549	0.100	-1.188
382.811	783.676	0.102	-1.185
382.749	783.803	0.105	-1.182
382.687	783.930	0.107	-1.179
382.625	784.057	0.110	-1.176
382.563	784.184	0.113	-1.172
382.501	784.312	0.115	-1.169
382.439	784.439	0.118	-1.165
382.377	784.566	0.121	-1.161
382.315	784.694	0.124	-1.157
382.253	784.821	0.127	-1.153
382.191	784.949	0.130	-1.149
382.129	785.076	0.133	-1.144
382.066	785.204	0.136	-1.139
382.004	785.331	0.139	-1.134
381.942	785.459	0.142	-1.129
381.880	785.587	0.146	-1.123
381.818	785.715	0.149	-1.117
381.756	785.842	0.152	-1.111
381.694	785.970	0.156	-1.105
381.632	786.098	0.159	-1.098
381.570	786.226	0.163	-1.092
381.508	786.354	0.166	-1.084
381.446	786.482	0.170	-1.077
381.384	786.610	0.174	-1.069
381.321	786.738	0.178	-1.062
381.259	786.866	0.181	-1.054
381.197	786.994	0.185	-1.045
381.135	787.122	0.189	-1.037
381.073	787.250	0.194	-1.028
381.011	787.379	0.198	-1.019
380.949	787.507	0.202	-1.009
380.887	787.635	0.206	-1.000
380.825	787.764	0.210	-0.990
380.763	787.892	0.215	-0.980
380.701	788.021	0.219	-0.970
380.639	788.149	0.224	-0.960
380.576	788.278	0.228	-0.949
380.514	788.407	0.233	-0.939
380.452	788.535	0.237	-0.928
380.390	788.664	0.242	-0.917
380.328	788.793	0.247	-0.906
380.266	788.921	0.252	-0.894
380.204	789.050	0.256	-0.883
380.142	789.179	0.261	-0.871
380.080	789.308	0.266	-0.859
380.018	789.437	0.271	-0.847
379.956	789.566	0.276	-0.835
379.894	789.695	0.281	-0.823
379.832	789.824	0.286	-0.811
