[frequency (THz)]	[signal]	[dc signal]	[interferogram phase (rad)]	[linear phase (rad)]
395.352	280.430	284.954	268.646	265.011
395.289	282.211	282.901	269.363	265.500
395.227	307.940	281.256	270.274	265.989
395.165	245.945	280.747	271.405	266.479
395.103	265.555	281.660	272.423	266.968
395.041	202.864	283.320	273.203	267.457
394.979	288.658	285.245	273.855	267.946
394.917	284.441	287.252	274.447	268.436
394.855	183.448	289.270	275.007	268.925
394.793	273.635	291.263	275.549	269.414
394.731	272.940	293.211	276.080	269.903
394.669	285.103	295.101	276.603	270.393
394.607	299.865	296.925	277.121	270.882
394.545	217.154	298.674	277.636	271.371
394.482	145.032	300.343	278.148	271.860
394.420	184.379	301.929	278.658	272.350
394.358	316.454	303.428	279.166	272.839
394.296	311.600	304.838	279.673	273.328
394.234	195.810	306.157	280.180	273.817
394.172	266.764	307.386	280.685	274.307
394.110	246.340	308.524	281.190	274.796
394.048	317.673	309.572	281.695	275.285
393.986	284.147	310.531	282.200	275.774
393.924	312.432	311.402	282.704	276.264
393.862	417.795	312.189	283.209	276.753
393.800	357.255	312.893	283.713	277.242
393.737	250.602	313.518	284.219	277.731
393.675	276.595	314.067	284.724	278.221
393.613	223.282	314.543	285.230	278.710
393.551	253.149	314.951	285.738	279.199
393.489	294.874	315.295	286.246	279.688
393.427	358.124	315.580	286.755	280.178
393.365	247.884	315.810	287.266	280.667
393.303	253.057	315.990	287.779	281.156
393.241	278.886	316.128	288.295	281.645
393.179	345.800	316.229	288.813	282.135
393.117	282.569	316.301	289.335	282.624
393.055	375.560	316.354	289.860	283.113
392.993	240.390	316.397	290.392	283.602
392.930	269.463	316.445	290.929	284.092
392.868	332.132	316.515	291.475	284.581
392.806	217.501	316.627	292.031	285.070
392.744	317.211	316.812	292.599	285.559
392.682	301.296	317.107	293.182	286.049
392.620	325.528	317.557	293.783	286.538
392.558	351.347	318.221	294.404	287.027
392.496	216.234	319.160	295.044	287.516
392.434	349.596	320.427	295.700	288.006
392.372	219.243	322.049	296.364	288.495
392.310	346.406	324.006	297.026	288.984
392.248	307.310	326.230	297.675	289.473
392.185	274.743	328.619	298.305	289.963
392.123	306.545	331.060	298.914	290.452
392.061	298.823	333.446	299.503	290.941
391.999	164.547	335.683	300.075	291.430
391.937	300.110	337.695	300.632	291.920
